,name,price,item
0,상디의볼케이노김밥,"3,200",김
1,뉴대만식연유,"2,600",샌
2,어인징베의참치마요,"2,000",주
3,아보카도치킨샌드,"4,900",샌
4,콥샐러드,"6,600",샐
5,돈까스로제그라탕,"4,800",도
6,매콤어묵라볶이,"3,400",면
7,뉴프랑키미트칠리펜네,"4,500",면
8,조로의바질페스토펜네,"4,500",면
9,한돈버거더클래식,"3,800",햄
10,점보치즈불고기버거,"2,800",햄
11,빅클래식불고기버거,"3,300",햄
12,백종원백반한판,"4,500",도
13,하루한끼샐러드시저,"1,800",샐
14,하루한끼샐러드오리엔,"1,800",샐
15,CJ고깃집쌈장파스타,"4,900",면
16,고깃집맛소금구이정식,"5,500",도
17,고깃집맛한쌈버거,"3,200",햄
18,고깃집맛한쌈김밥,"3,000",김
19,고깃집맛쌈장밥바,"2,300",주
20,햄에그모닝머핀,"2,900",햄
21,허니리코타치즈샐러드,"4,800",샐
22,오리지널닭가슴살샐러,"4,800",샐
23,레몬치킨샌드,"2,800",샌
24,콜라겐토마토치즈미니,"3,500",샐
25,하프&하프샌드,"3,200",샌
26,뚱실참치샌드,"3,200",샌
27,카프레제샐러드,"6,600",샐
28,백종원바싹불고기한판,"4,500",도
29,크리스피치킨텐더샐러,"5,800",샐
30,탄단지모짜치킨볼,"5,200",샐
31,통밀햄,"3,300",샌
32,햄에그치즈,"3,300",샌
33,통밀베이컨,"3,300",샌
34,아메리칸핫도그,"3,400",핫
35,분짜샐러드,"6,600",샐
36,감자고로케볶음라면,"5,200",면
37,리치리치콘치즈,"3,600",핫
38,백종원제육한판,"4,500",도
39,통리챔참치마요밥바,"2,000",주
40,뚱실카츠샌드,"3,500",샌
41,스팸데리마요밥바,"2,000",주
42,뚱실에그샌드,"3,200",샌
43,THE레드버거,"3,900",햄
44,THE그린버거,"3,900",햄
45,닭가슴살오리엔탈샐러,"4,800",샐
46,시그니처불어묵김밥,"2,800",김
47,시그니처계란김밥,"2,800",김
48,시그니처돈까스김밥,"2,800",김
49,상디의치킨한마리,"11,900",도
50,비프매콤크림파스타,"5,500",면
51,햄감자샐러드,"3,200",샌
52,뚱실치킨샌드,"3,200",샌
53,한우스테이크버거,"4,800",햄
54,쉬림프오일파스타,"5,500",면
55,우솝의고르곤졸라펜네,"5,500",면
56,시그니처제육구이,"5,500",도
57,3XL뉴리치참치마요,"1,600",주
58,THE옐로버거,"3,900",햄
59,참치마요소고기더블,"2,000",주
60,시그니처가라아게,"5,500",도
61,시그니처소불고기,"5,500",도
62,리얼뽀모도로파스타,"5,500",면
63,베리베리좋아해,"3,000",샌
64,백종원미트볼파스타,"4,900",면
65,에그포테이토,"3,300",샌
66,반숙에그샌드,"3,300",샌
67,마늘제육정식,"4,900",도
68,동원리챔정식,"4,600",도
69,백종원더블닭갈비정식,"4,900",도
70,백종원매콤불고기반상,"4,800",도
71,간장불고기정식,"4,900",도
72,반반치불정식,"5,100",도
73,3XL서울식소불고기,"1,700",주
74,김치제육,"1,300",주
75,K오리지널불고기버거,"3,500",햄
76,아몬드크랜베리치킨,"3,600",샌
77,리챔마요김치볶음,"1,200",주
78,쵸파의스윗스윗샌드,"3,000",샌
79,루피의주먹고기한상,"7,900",도
80,상디의디아블잠브버거,"3,800",햄
81,프랑키의미트칠리펜네,"5,500",면
82,우삼겹오리엔탈밀샐러,"5,800",샐
83,뉴상하이스파이시버거,"2,800",햄
84,에그불고기치즈햄버거,"2,800",햄
85,딥치즈베이컨햄버거,"2,800",햄
86,에그고소햄샌드,"2,500",샌
87,케이준치킨샌드,"2,800",샌
88,에그슬라이스샌드,"2,800",샌
89,크래프트치즈딸기샌드,"2,800",샌
90,BELT샌드,"2,800",샌
91,3XL짜장햄계란마요,"1,600",주
92,3XL불어묵삼각,"1,600",주
93,3XL돈까스삼각,"1,600",주
94,너비아니데리삼각,"1,300",주
95,계란버터간장삼각,"1,400",주
96,매콤닭갈비삼각,"1,200",주
97,함박스테이크맥앤치즈,"8,900",도
98,올리브치킨샌드,"3,600",샌
99,쉬림프레몬밀샐러드,"5,800",샐
100,치킨시저밀샐러드,"5,800",샐
101,불닭마요덮밥,"3,900",도
102,치킨마요덮밥,"3,900",도
103,백종원불고기파스타,"5,200",면
104,백종원트리플포크삼각,"1,100",주
105,백종원트리플포크김밥,"3,200",김
106,백종원트리플머쉬룸,"3,600",햄
107,백종원트리플고기정식,"5,500",도
108,킬바사소세지포테이토,"8,900",도
109,백종원트리플파스타,"5,200",면
110,맵닭통살치킨버거,"3,900",햄
111,구운야채판자넬라샐러,"6,500",샐
112,시저샐러드,"6,600",샐
113,콜라겐닭가슴살베리,"3,500",샐
114,스파이시치킨구운채소,"8,900",도
115,진도대파핫도그,"3,800",핫
116,크리미소시지치킨버거,"3,500",햄
117,점보3단햄참치,"2,800",샌
118,점보3단햄감자맛살,"2,800",샌
119,T1매콤제육치즈핫도그,"3,600",핫
120,K오리지널바베큐버거,"3,400",햄
121,이건가요치즈맛살,"2,700",샌
122,이건가요샌드위치,"2,700",샌
123,채식채란마요유부,"4,200",김
124,탱탱슈림프버거,"3,500",햄
125,T1맵달김치불고기김밥,"3,000",김
126,3XLT1맵달김치제육,"1,700",주
127,3XL청양참치김치볶음,"1,600",주
128,치킨텐더샐러드,"4,500",샐
129,리코타&요거트샐러드,"4,500",샐
130,백종원로제파스타,"5,200",면
131,에그샐러드토스트,"3,500",샌
132,치킨치즈모닝머핀,"2,800",햄
133,해물볶음우동,"5,200",면
134,미피당근김밥,"2,500",김
135,리코타치즈샐러드,"4,800",샐
136,리치골드스테이크버거,"3,500",햄
137,백종원치즈함박버거,"3,500",햄
138,백종원치즈함박파스타,"5,000",면
139,에스더버니딸기크림,"2,900",샌
140,햅쌀가득반상,"5,900",도
141,토끼정햄계란마요,"1,700",주
